Titel,Notiz,URL,Kommentar
Hako-Zushi,,https://www.google.com/maps/place/Hako-Zushi/data=!4m2!3m1!1s0x47bf25da0b28870b:0xa36230fdb4e5ce37,
Kürbisparade Hof Ordelheide,,https://www.google.com/maps/place/K%C3%BCrbisparade+Hof+Ordelheide/data=!4m2!3m1!1s0x47ba212cabc6e1e9:0xf9a5f6860aef0f8f,
Drachen City,,https://www.google.com/maps/place/Drachen+City/data=!4m2!3m1!1s0x47bf25ae6837ae31:0xc479c143b16ace8c,
Fisch-Hof Sushi Bar seit 1996,,https://www.google.com/maps/place/Fisch-Hof+Sushi+Bar+seit+1996/data=!4m2!3m1!1s0x4171867da6ccafc9:0x5d7c5b3c4e19f39d,
Museum für Ostasiatische Kunst,,https://www.google.com/maps/place/Museum+f%C3%BCr+Ostasiatische+Kunst/data=!4m2!3m1!1s0x47bf251c361b998f:0xc368778c7e6e88af,
Claudius Therme,,https://www.google.com/maps/place/Claudius+Therme/data=!4m2!3m1!1s0x47bf25e9fa5f2ae9:0x367519ce3e78a5ec,
Asia Haus am Rheinauhafen,,https://www.google.com/maps/place/Asia+Haus+am+Rheinauhafen/data=!4m2!3m1!1s0x47bf25b483350887:0x1c5263c474742452,
Nittaya Traditionelle Thai Massage,,https://www.google.com/maps/place/Nittaya+Traditionelle+Thai+Massage/data=!4m2!3m1!1s0x47ba4c97c30ca83f:0xeb9cd867b6cc75cc,
Bornholm,,https://www.google.com/maps/place/Bornholm/data=!4m2!3m1!1s0x46550e79e64f7b07:0xf84b68b18fbadf12,
locker flockig - unverpacktes & café,,https://www.google.com/maps/place/locker+flockig+-+unverpacktes+%26+caf%C3%A9/data=!4m2!3m1!1s0x47ba4def7b5696bf:0x66f614fcff351d9b,
MOSO Sushi & Grill Restaurant,,https://www.google.com/maps/place/MOSO+Sushi+%26+Grill+Restaurant/data=!4m2!3m1!1s0x47ba4de974bbcdfd:0xa7272be014c97f58,
Potsdam,,https://www.google.com/maps/place/Potsdam/data=!4m2!3m1!1s0x47a8f5cd843ad6b7:0xc565f8980baaec9b,
